issueno,month,year,skater,trick,obstacle,detailer,staircount,spot,location,notes,special,soty
231,february,2000,erik ellington,bs kickflip,gap,bump to gap,,,,,,
232,march,2000,paul machnau,fs boardslide,rail,handrail,,,,,,
233,april,2000,brian anderson,,portrait,,,,,,,soty
234,may,2000,reese forbes,fakie ollie,gap,,,3rd & Army,"San Francisco, CA",,,
235,june,2000,dennis busenitz,ollie,hip,,,alameda skatepark,,,,
236,july,2000,arto saari,bs crook,rail,handrail,18,Franklin High School,"Los Angeles, CA",,,
237,august,2000,toan nyugen,kickflip to bs tailslide,rail,,,,,combo,,
238,september,2000,jim greco,sw fs kickflip,stairs,,13,lincoln high,"San Francisco, CA",,,
239,october,2000,cairo foster,fs noseslide,ledge,out ledge,10,oakland courthouse,Oakland,,,
240,november,2000,jason dill,bs blunt,rail,handrail,9,Belmon 9 Stair,"Los Angeles, CA",,,
241,december,2000,eric koston,bs lipslide,rail,handrail,3 flat 3,,,,,
242,january,2001,collectors edition,,art,fullpipe,,,,,,
243,february,2001,steve olsen,sw bs crook,ledge,out ledge,8,,,,,
244,march,2001,dan drehobl,fs air,transition,park,,,,,,
245,april,2001,geoff rowley,,portrait,,,,,,,soty
246,may,2001,elias bingham,ollie,gap,bump to gap,,,,,,
247,june,2001,alan petersen,fs ollie,transition,fullpipe,,,,,,
248,july,2001,stevie williams,fs noseslide,ledge,,,,,,,
249,august,2001,wes lott,bs lipslide,rail,handrail,13,,,,,
250,september,2001,geoff rowley,bs 5050,ledge,hubba,15,,,,,
251,october,2001,matt field,fs nosegrind,rail,,,,,,,
252,november,2001,mark appleyard,fs smith,rail,handrail,12,,az,,,
253,november,2001,mark appleyard,bs lipslide,rail,handrail,2 flat 7,,,,Appleyard,
254,december,2001,steve bailey,fs ollie,transition,pool,,,,,,
255,january,2002,jon allie,kickflip to bs lipslide,rail,handrail,9,,,combo,,
256,february,2002,ryan johnson,acid drop,drop in,pool,,,,,,
257,march,2002,bastien salabanzi,kickflip to fakie,transition,pool,,,,,,
258,april,2002,arto saari,fakie fs boardslide,rail,handrail,13,Point Loma High School,"San Diego, CA",,,soty
259,may,2002,jason adams,ollie,gap,,,LA River,"Los Angeles, CA",,,
260,june,2002,darrell stanton,bs noseblunt,ledge,hubba,12,Clipper,"San Francisco, CA",,,
261,july,2002,jamie thomas,bs crook,rail,handrail,10,,,,,
262,august,2002,tom penny,sw 270 kickflip,hip,park,,,,,,
263,september,2002,alan petersen,method,transition,bowl,,,,,,
264,october,2002,jeremy smythe,fs crook,rail,,,3rd & Army,"San Francisco, CA",,,
265,november,2002,dustin dollin,fakie kickflip,stairs,,4 flat 4,,,,,
266,december,2002,andrew reynolds,fs kickflip,stairs,,16,paul revere elementary,"San Francisco, CA",beast af,,
267,special issue,2002,josh harmony,fs nosegrind,rail,handrail,11,,,13th issue,,
268,january,2003,billy marks,kickflip to fs lipslide,rail,handrail,12,Hollywood High,"Los Angeles, CA",combo,,
269,february,2003,ryan smith,fs noseblunt,ledge,hubba,12,,,,,
270,march,2003,mark appleyard,fs nosegrind,rail,handrail,13,,,,,
271,april,2003,bryan herman,kickflip,stairs,,5 flat 7,,,,,
272,may,2003,tony trujillo,stale,transition,park,,ripon,,,,soty
273,june,2003,heath kirchart,bs lipslide,rail,handrail,5 flat 5,,,,,
274,july,2003,john rattray,invert,transition,quarterpipe,,,,,,
275,august,2003,tom penny,kickflip to fakie,transition,fullpipe,,,,,,
276,september,2003,mark gonzales,bs 5-0,rail,,,,"San Francisco, CA",,,
277,october,2003,darren navarrette,lien air,transition,halfpipe,,,,,,
278,november,2003,rick mccrank & lance mountain,fs air over fs 5-0,transition,pool,,,,,,
279,december,2003,bastien salabanzi,fakie kickflip,stairs,,12,West Hollywood Park 12,"Hollywood, CA",,,
